ICE FLAVORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIDS PORTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flavor,,,Calories,,,,,"Calories
from Fat",,,Fat,,,"Saturated
Fat",,,,,,"Trans
Fat",,,Cholesterol,,,,,,,Sodium,,,"Total
Carbohydrates",,,,,,"Dietary
Fiber",,,,Total Sugar,,,,"Added
Sugar",,,,,Protein,,,,,Vitamin D,,,,,"Vitamin D
(% DV)",,,,Calcium,,,,"Calcium
(%DV)",,,Iron,,"Iron
(%DV)",,,,Potassium,,,,"Potassium
(%DV)",,,,,,,
Italian,Apple Berry Blue,,,180,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,46,,,,,,0,,,,44,,,,21,,,,,0,,,,,0,,,,,0,,,,8,,,,0,,,0,,0,,,,16,,,,0,,,,,,,
,Banana,,,220,,,,,5,,,0,,,0,,,,,,0,,,0,,,,,,,25,,,54,,,,,,0,,,,52,,,,50,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,40,,,,1,,,,,,,
,Blue Raspberry,,,200,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,51,,,,,,0,,,,49,,,,49,,,,,0,,,,,1,,,,,6,,,,6,,,,0,,,0,,0,,,,1,,,,0,,,,,,,
,Blueberry,,,220,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,55,,,,,,0,,,,52,,,,25,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Blueberry Lemonade,,,150,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,25,,,38,,,,,,0,,,,35,,,,34,,,,,0,,,,,0,,,,,0,,,,9,,,,0,,,0,,0,,,,25,,,,0,,,,,,,
,Carnival,,,190,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,25,,,47,,,,,,0,,,,45,,,,19,,,,,0,,,,,0,,,,,0,,,,5,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Cherry,,,160,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,25,,,41,,,,,,0,,,,38,,,,37,,,,,0,,,,,0,,,,,0,,,,10,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Cherry Lemonade,,,170,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,45,,,,,,0,,,,42,,,,42,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,15,,,,0,,,,,,,
,Cherry Limeade,,,150,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,25,,,38,,,,,,0,,,,36,,,,36,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,10,,,,0,,,,,,,
,Chocolate,,,230,,,,,5,,,0,,,0,,,,,,0,,,0,,,,,,,45,,,59,,,,,,0,,,,56,,,,56,,,,,1,,,,,0,,,,,0,,,,10,,,,2,,,0,,2,,,,60,,,,2,,,,,,,
,Chocolate Chocolate Chip,,,250,,,,,15,,,2,,,1,,,,,,0,,,0,,,,,,,40,,,61,,,,,,0,,,,58,,,,58,,,,,1,,,,,0,,,,,0,,,,12,,,,2,,,1,,6,,,,85,,,,2,,,,,,,
,Chocolate Peanut Butter,,,280,,,,,45,,,5,,,1,,,,,,0,,,0,,,,,,,75,,,60,,,,,,0,,,,56,,,,56,,,,,2,,,,,0,,,,,0,,,,16,,,,2,,,1,,4,,,,100,,,,3,,,,,,,
,Cotton Candy,,,220,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,15,,,54,,,,,,0,,,,54,,,,20,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Florida Orange,,,180,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,46,,,,,,0,,,,42,,,,40,,,,,0,,,,,0,,,,,0,,,,8,,,,0,,,0,,0,,,,35,,,,1,,,,,,,
,Georgia Peach,,,140,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,25,,,35,,,,,,0,,,,34,,,,33,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Green Apple,,,190,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,49,,,,,,0,,,,47,,,,44,,,,,0,,,,,0,,,,,0,,,,8,,,,0,,,0,,0,,,,30,,,,0,,,,,,,
,Guava Passionfruit,,,190,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,48,,,,,,0,,,,22,,,,45,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,33,,,,0,,,,,,,
,Gummy Bear,,,230,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,58,,,,,,0,,,,54,,,,54,,,,,0,,,,,0,,,,,0,,,,5,,,,0,,,0,,0,,,,11,,,,0,,,,,,,
,Island Fusion,,,210,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,53,,,,,,0,,,,51,,,,50,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,25,,,,1,,,,,,,
,Juicy Pear,,,180,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,45,,,,,,0,,,,43,,,,43,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Kandi Kapow!,,,200,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,25,,,50,,,,,,0,,,,49,,,,37,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,1,,,,0,,,,,,,
,Key Lime,,,170,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,45,,,44,,,,,,0,,,,42,,,,42,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Lemon,,,180,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,70,,,47,,,,,,0,,,,44,,,,15,,,,,0,,,,,0,,,,,0,,,,9,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Mango,,,200,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,50,,,,,,0,,,,48,,,,47,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,15,,,,0,,,,,,,
,Mango- Orange,,,200,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,25,,,49,,,,,,0,,,,46,,,,36,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,5,,,,0,,,,,,,
,Mango-Peach,,,160,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,40,,,,,,0,,,,38,,,,37,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,7,,,,0,,,,,,,
,Mango- Pineapple,,,200,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,50,,,,,,0,,,,48,,,,47,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,10,,,,0,,,,,,,
,Mango- Strawberry,,,200,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,51,,,,,,0,,,,49,,,,48,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,10,,,,0,,,,,,,
,Margarita,,,180,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,35,,,45,,,,,,0,,,,43,,,,41,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,10,,,,0,,,,,,,
,Ocean Splash™,,,190,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,80,,,48,,,,,,0,,,,44,,,,44,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,12,,,,0,,,,,,,
,Peach Ring,,,170,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,25,,,43,,,,,,0,,,,42,,,,42,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,1,,,,0,,,,,,,
,Peanut Butter and Jelly,,,280,,,,,60,,,7,,,1,,,,,,0,,,0,,,,,,,80,,,54,,,,,,0,,,,51,,,,50,,,,,2,,,,,0,,,,,0,,,,14,,,,2,,,0,,2,,,,65,,,,2,,,,,,,
,Pina Colada,,,190,,,,,5,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,49,,,,,,0,,,,47,,,,47,,,,,0,,,,,0,,,,,0,,,,8,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Pineapple,,,180,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,44,,,,,,0,,,,43,,,,42,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,2,,,,10,,,,0,,,,,,,
,Raspberry,,,190,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,48,,,,,,0,,,,46,,,,45,,,,,0,,,,,0,,,,,0,,,,8,,,,0,,,0,,0,,,,20,,,,1,,,,,,,
,Raspberry Lemonade,,,160,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,40,,,,,,0,,,,38,,,,33,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,22,,,,0,,,,,,,
,Root Beer,,,190,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,47,,,,,,0,,,,45,,,,45,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,15,,,,0,,,,,,,
,Sour Patch Kids Red,,,180,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,50,,,,,,0,,,,48,,,,48,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Strawberry,,,190,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,47,,,,,,0,,,,45,,,,45,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Strawberry Colada,,,200,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,52,,,,,,0,,,,50,,,,50,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Strawberry Lemonade,,,180,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,25,,,45,,,,,,0,,,,42,,,,42,,,,,0,,,,,0,,,,,0,,,,8,,,,0,,,0,,0,,,,20,,,,1,,,,,,,
,Strawberry Margarita,,,180,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,35,,,45,,,,,,0,,,,43,,,,41,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,10,,,,0,,,,,,,
,Strawberry- Watermelon,,,190,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,48,,,,,,0,,,,47,,,,46,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,15,,,,0,,,,,,,
,Swedish Fish,,,220,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,50,,,57,,,,,,0,,,,55,,,,55,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Tropical Daiquiri,,,220,,,,,5,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,54,,,,,,0,,,,52,,,,50,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,4,,,,0,,,,,,,
,Tropical ParadICE,,,190,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,49,,,,,,0,,,,37,,,,47,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,18,,,,0,,,,,,,
,Vanilla,,,180,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,45,,,,,,0,,,,44,,,,44,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,15,,,,0,,,,,,,
,Watermelon,,,210,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,30,,,52,,,,,,0,,,,51,,,,50,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,5,,,,0,,,,,,,
,Wild Berry,,,160,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,25,,,41,,,,,,0,,,,39,,,,39,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,5,,,,0,,,,,,,
,Wild Black Cherry,,,190,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,20,,,46,,,,,,0,,,,42,,,,42,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,15,,,,0,,,,,,,
,Unicorn,,,190,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,85,,,49,,,,,,0,,,,44,,,,44,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,17,,,,0,,,,,,,
,Zombie's Blood,,,140,,,,,0,,,0,,,0,,,,,,0,,,0,,,,,,,25,,,38,,,,,,0,,,,36,,,,36,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,8,,,,0,,,,,,,
Cream Ice,Birthday Cake,,,240,,,,,25,,,3,,,3,,,,,,0,,,0,,,,,,,125,,,53,,,,,,0,,,,48,,,,41,,,,,0,,,,,0,,,,,0,,,,26,,,,2,,,0,,2,,,,5,,,,0,,,,,,,
,Banana Split Cream,,,240,,,,,30,,,4,,,3,,,,,,0,,,0,,,,,,,35,,,54,,,,,,0,,,,50,,,,22,,,,,0,,,,,0,,,,,0,,,,10,,,,2,,,0,,2,,,,20,,,,1,,,,,,,
,Black Cherry Cheesecake,,,230,,,,,25,,,3,,,2,,,,,,0,,,0,,,,,,,50,,,52,,,,,,0,,,,49,,,,20,,,,,0,,,,,0,,,,,0,,,,11,,,,2,,,0,,2,,,,0,,,,0,,,,,,,
,Brookie Dough,,,260,,,,,35,,,4,,,3,,,,,,0,,,0,,,,,,,85,,,57,,,,,,0,,,,51,,,,48,,,,,1,,,,,0,,,,,0,,,,13,,,,2,,,0,,0,,,,38,,,,0,,,,,,,
,Cheesecake,,,220,,,,,25,,,3,,,3,,,,,,0,,,0,,,,,,,55,,,51,,,,,,0,,,,48,,,,21,,,,,0,,,,,0,,,,,0,,,,6,,,,0,,,0,,0,,,,0,,,,0,,,,,,,
,Chocolate Chip Cheesecake,,,250,,,,,40,,,4,,,3,,,,,,0,,,0,,,,,,,50,,,53,,,,,,0,,,,50,,,,24,,,,,1,,,,,0,,,,,0,,,,9,,,,0,,,1,,4,,,,35,,,,1,,,,,,,
,Chocolate Covered Banana,,,250,,,,,35,,,4,,,3,,,,,,0,,,0,,,,,,,60,,,55,,,,,,0,,,,51,,,,24,,,,,1,,,,,0,,,,,0,,,,11,,,,0,,,1,,6,,,,52,,,,2,,,,,,,
,Chocolate Covered Strawberry,,,250,,,,,40,,,5,,,4,,,,,,0,,,0,,,,,,,65,,,54,,,,,,0,,,,50,,,,49,,,,,1,,,,,0,,,,,0,,,,13,,,,2,,,1,,4,,,,55,,,,2,,,,,,,
,Coconut Cream,,,220,,,,,25,,,3,,,3,,,,,,0,,,0,,,,,,,50,,,50,,,,,,0,,,,46,,,,44,,,,,0,,,,,0,,,,,0,,,,7,,,,0,,,0,,0,,,,5,,,,0,,,,,,,
